汽车品牌,车型,售价,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12,2025-08-19,2025-08-26,2025-09-02,2025-09-09,2025-09-16
小鹏,小鹏G3,14.38-20.39万,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小鹏,小鹏G6,17.68-19.88万,602.0,1073.0,1231.0,68.0,292.0,856.0,931.0,901.0,535.0,320.0,248.0,668.0,865.0,987.0,1395.0,1644.0,1635.0,1064.0,1168.0,907.0,1204.0,591.0,1293.0,1820.0,1983.0,795.0,687.0,977.0,1022.0,845.0,814.0,963.0,1031.0,1121.0,596.0,896.0,1002.0
小鹏,小鹏G7,19.58-22.58万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,46.0,17.0,0.0,0.0,44.0,486.0,831.0,1885.0,2954.0,2209.0,1560.0,1311.0,904.0,470.0,709.0,725.0
小鹏,小鹏G9,24.88-27.88万,224.0,306.0,491.0,33.0,81.0,268.0,361.0,539.0,316.0,485.0,443.0,504.0,537.0,473.0,307.0,870.0,893.0,658.0,853.0,719.0,787.0,436.0,660.0,608.0,619.0,360.0,399.0,432.0,408.0,340.0,248.0,279.0,283.0,311.0,154.0,257.0,267.0
小鹏,小鹏MONA M03,11.98-13.98万,4343.0,5132.0,5551.0,324.0,1976.0,4127.0,4724.0,3112.0,5648.0,3919.0,4229.0,2328.0,4240.0,3313.0,2688.0,2555.0,1648.0,3178.0,1934.0,2057.0,2321.0,1915.0,2511.0,3638.0,5892.0,3788.0,2868.0,2972.0,3557.0,3361.0,3001.0,3597.0,3903.0,4018.0,2388.0,3167.0,3743.0
小鹏,小鹏P5,15.69-24.99万,117.0,31.0,96.0,1.0,1.0,38.0,10.0,13.0,86.0,9.0,20.0,13.0,11.0,3.0,3.0,57.0,1.0,2.0,8.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
小鹏,小鹏P7,21.98-30.18万,61.0,83.0,116.0,7.0,22.0,63.0,73.0,63.0,54.0,51.0,55.0,24.0,21.0,42.0,28.0,41.0,11.0,10.0,17.0,18.0,39.0,26.0,20.0,20.0,12.0,15.0,5.0,14.0,8.0,15.0,498.0,107.0,37.0,378.0,2169.0,1758.0,1768.0
小鹏,小鹏P7+,18.68-20.88万,1983.0,2547.0,2681.0,173.0,968.0,2515.0,2353.0,1846.0,1679.0,2000.0,2348.0,2323.0,1524.0,1606.0,1642.0,1651.0,877.0,1511.0,1338.0,1394.0,1546.0,902.0,1576.0,1994.0,2123.0,1177.0,1124.0,1200.0,1256.0,1277.0,828.0,1052.0,1346.0,1368.0,794.0,1144.0,1429.0
小鹏,小鹏X9,35.98-41.98万,161.0,294.0,299.0,22.0,54.0,225.0,322.0,305.0,200.0,204.0,208.0,292.0,255.0,197.0,533.0,383.0,488.0,452.0,488.0,616.0,880.0,268.0,310.0,455.0,566.0,277.0,248.0,289.0,267.0,278.0,268.0,330.0,324.0,295.0,132.0,197.0,222.0
小米,小米SU7,21.59-29.99万,5473.0,5657.0,7959.0,544.0,4443.0,6863.0,6411.0,6834.0,6219.0,6540.0,6609.0,7834.0,5082.0,6287.0,7160.0,7031.0,5688.0,5176.0,7157.0,6819.0,7796.0,4343.0,5564.0,4616.0,6886.0,4552.0,5820.0,5618.0,5960.0,5268.0,4321.0,3570.0,4347.0,6333.0,3166.0,5174.0,5346.0
小米,小米YU7,25.35-32.99万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,4.0,2202.0,336.0,860.0,1556.0,1628.0,2311.0,2479.0,3603.0,3899.0,5543.0,2989.0,4616.0,5411.0
理想,理想L6,24.98-27.98万,3552.0,4369.0,4330.0,1058.0,2516.0,3660.0,3903.0,3525.0,3353.0,3792.0,4015.0,4134.0,2880.0,3776.0,4012.0,4331.0,5623.0,3186.0,4880.0,4610.0,4973.0,3645.0,3663.0,4085.0,3546.0,3549.0,3659.0,3355.0,3399.0,2289.0,2373.0,2600.0,2846.0,2641.0,2122.0,3048.0,2993.0
理想,理想L7,30.18-35.98万,1613.0,2212.0,1881.0,376.0,980.0,1662.0,1691.0,1701.0,1681.0,1861.0,2074.0,2135.0,1573.0,1660.0,2182.0,1940.0,2561.0,2387.0,2008.0,2399.0,2977.0,2005.0,1759.0,1881.0,1835.0,1512.0,1464.0,1428.0,1420.0,989.0,918.0,1035.0,1376.0,1460.0,981.0,1349.0,1369.0
理想,理想L8,32.18-37.98万,1117.0,1383.0,1222.0,248.0,568.0,1020.0,950.0,970.0,1024.0,1148.0,1246.0,1292.0,927.0,944.0,1622.0,1384.0,1528.0,1264.0,1109.0,1454.0,1433.0,1004.0,916.0,1146.0,928.0,756.0,759.0,735.0,761.0,474.0,499.0,526.0,790.0,721.0,388.0,531.0,591.0
理想,理想L9,40.98-43.98万,1146.0,1336.0,1296.0,255.0,544.0,973.0,990.0,914.0,948.0,958.0,1098.0,1071.0,785.0,742.0,988.0,947.0,1465.0,1051.0,1123.0,1644.0,2102.0,1309.0,1054.0,1170.0,977.0,785.0,860.0,879.0,839.0,727.0,716.0,581.0,974.0,1344.0,834.0,1030.0,820.0
理想,理想MEGA,52.98-55.98万,218.0,211.0,293.0,46.0,78.0,181.0,183.0,258.0,304.0,231.0,182.0,140.0,60.0,23.0,17.0,26.0,229.0,274.0,121.0,368.0,538.0,309.0,482.0,638.0,677.0,551.0,554.0,598.0,662.0,804.0,671.0,641.0,644.0,1017.0,664.0,833.0,668.0
理想,理想i6,24.98-26.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,41.0,13.0,999.0
理想,理想i8,33.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,37.0,37.0,317.0,193.0,143.0,233.0,950.0,1249.0,1080.0,1262.0,1139.0
蔚来,蔚来EC6,35.80-37.00万,248.0,409.0,440.0,74.0,200.0,300.0,420.0,491.0,311.0,313.0,381.0,433.0,246.0,460.0,663.0,869.0,414.0,532.0,704.0,589.0,542.0,309.0,279.0,467.0,597.0,320.0,343.0,313.0,364.0,348.0,239.0,271.0,297.0,340.0,201.0,200.0,281.0
蔚来,蔚来EC7,45.80-49.00万,24.0,41.0,48.0,4.0,11.0,28.0,37.0,43.0,27.0,36.0,29.0,58.0,35.0,27.0,47.0,48.0,41.0,31.0,27.0,19.0,21.0,12.0,8.0,8.0,30.0,27.0,17.0,18.0,37.0,152.0,72.0,58.0,32.0,18.0,13.0,7.0,5.0
蔚来,蔚来ES6,33.80万,519.0,961.0,1004.0,166.0,415.0,688.0,827.0,1079.0,629.0,634.0,728.0,934.0,615.0,1169.0,1857.0,2479.0,1228.0,1630.0,1718.0,1437.0,1256.0,873.0,859.0,1121.0,1122.0,686.0,782.0,742.0,762.0,787.0,605.0,754.0,681.0,771.0,524.0,543.0,646.0
蔚来,蔚来ES7,43.80-51.80万,3.0,265.0,55.0,1.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
蔚来,蔚来ES8,40.68-44.68万,69.0,130.0,135.0,25.0,40.0,91.0,131.0,172.0,86.0,106.0,129.0,133.0,91.0,94.0,136.0,171.0,99.0,85.0,83.0,74.0,61.0,91.0,229.0,162.0,210.0,142.0,117.0,101.0,504.0,302.0,74.0,37.0,59.0,65.0,441.0,257.0,19.0
蔚来,蔚来ET5,29.80-31.60万,575.0,958.0,1068.0,180.0,420.0,758.0,961.0,1260.0,757.0,860.0,1035.0,1304.0,701.0,1488.0,2413.0,2612.0,358.0,345.0,435.0,583.0,434.0,320.0,393.0,369.0,384.0,303.0,275.0,340.0,373.0,328.0,259.0,293.0,310.0,396.0,258.0,312.0,353.0
蔚来,蔚来ET5T,29.80-31.60万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0,1094.0,1067.0,902.0,497.0,891.0,1202.0,1053.0,1297.0,914.0,796.0,856.0,1065.0,1217.0,756.0,965.0,1110.0,1278.0,1018.0,1050.0,1229.0
蔚来,蔚来ET7,42.80-45.80万,60.0,74.0,100.0,12.0,30.0,54.0,67.0,88.0,65.0,85.0,77.0,89.0,55.0,88.0,106.0,135.0,85.0,62.0,53.0,57.0,32.0,34.0,27.0,33.0,106.0,65.0,42.0,47.0,99.0,289.0,139.0,122.0,69.0,79.0,48.0,38.0,30.0
蔚来,蔚来ET9,76.80-81.80万,10.0,10.0,26.0,0.0,8.0,10.0,21.0,3.0,55.0,38.0,53.0,70.0,92.0,147.0,212.0,252.0,193.0,147.0,155.0,181.0,192.0,100.0,67.0,38.0,47.0,39.0,40.0,35.0,44.0,26.0,18.0,19.0,26.0,39.0,26.0,18.0,14.0
